,Station Name,Station ID,Number of Customers,Average Trip Duration (min),Latitude,Longitude,Year
0,1 Ave & E 15 St,504.0,49487,702.5984804089964,40.73221853002527,-73.98165557008107,2014
1,1 Ave & E 18 St,2003.0,23822,794.363487532533,40.73416058998751,-73.98024289001779,2014
2,1 Ave & E 30 St,536.0,33802,776.9751198153955,40.74144386997894,-73.97536082003258,2014
3,1 Ave & E 44 St,455.0,19237,881.9684462234236,40.75001985999054,-73.96905300999168,2014
4,10 Ave & W 28 St,489.0,29677,823.0242612123867,40.75066386000245,-74.00176801998445,2014
5,11 Ave & W 27 St,458.0,30793,869.0991783846978,40.75139599999828,-74.00522600000059,2014
6,11 Ave & W 41 St,478.0,27141,935.4163074315611,40.76030096001406,-73.9988422200398,2014
7,11 Ave & W 59 St,530.0,21841,1267.1551211025137,40.771521999992466,-73.99054099998025,2014
8,12 Ave & W 40 St,514.0,37894,1274.153427983322,40.76087501996308,-74.00277668003821,2014
9,2 Ave & E 31 St,528.0,49981,741.4263420099638,40.742909020031675,-73.97706058005369,2014
10,2 Ave & E 58 St,290.0,21763,984.9399898910996,40.760202580008716,-73.96478472999327,2014
11,3 Ave & Schermerhorn St,298.0,3691,996.7921972365212,40.686832080000606,-73.9796771999988,2014
12,5 Ave & E 29 St,474.0,33800,713.545650887574,40.74516770002056,-73.98683077002833,2014
13,6 Ave & Broome St,2004.0,22024,857.031057028696,40.72439900002302,-74.0047039999776,2014
14,6 Ave & Canal St,377.0,20582,890.207365659314,40.72243796999275,-74.0056644300176,2014
15,6 Ave & W 33 St,505.0,39610,911.3868720020197,40.749012710004145,-73.98848395002224,2014
16,7 Ave & Farragut St,2001.0,457,669.0700218818381,40.69892053999995,-73.97332996000036,2014
17,8 Ave & W 31 St,521.0,100498,779.4597404923481,40.75044998994619,-73.9948105101674,2014
18,8 Ave & W 33 St,490.0,58711,756.3002163138083,40.75155099997418,-73.99393399993731,2014
19,8 Ave & W 52 St,447.0,29839,833.6325949261034,40.763707390030056,-73.98516150003799,2014
20,9 Ave & W 14 St,404.0,37282,924.2097526956709,40.74058260000303,-74.00550866998498,2014
21,9 Ave & W 16 St,463.0,33972,815.7090250794772,40.742065390019214,-74.00443171993972,2014
22,9 Ave & W 18 St,434.0,27647,807.6127608782147,40.743174490026455,-74.00366442999808,2014
23,9 Ave & W 22 St,509.0,41360,733.5480899419729,40.74549730003865,-74.00197139006036,2014
24,9 Ave & W 45 St,479.0,35266,801.1236318266886,40.760192519989126,-73.99125509993193,2014
25,Adelphi St & Myrtle Ave,270.0,9828,575.1850834350835,40.693082569996534,-73.97178913000761,2014
26,Allen St & E Houston St,312.0,34637,792.422813754078,40.722055000015814,-73.98911100001874,2014
27,Allen St & Hester St,361.0,31166,773.6939934544055,40.71605865999248,-73.9919075900285,2014
28,Allen St & Rivington St,401.0,34018,839.2536598271504,40.72019576001472,-73.98997825006761,2014
29,Ashland Pl & Hanson Pl,271.0,16182,747.2072055370164,40.68528172000966,-73.9780581300099,2014
30,Atlantic Ave & Fort Greene Pl,83.0,9777,1064.48583410044,40.683826040007,-73.97632328000975,2014
31,Atlantic Ave & Furman St,398.0,9953,1478.2463578820457,40.691651829998236,-73.99997859999246,2014
32,Avenue D & E 12 St,339.0,5052,1043.7404988123515,40.72580613999868,-73.97422494000054,2014
33,Avenue D & E 3 St,302.0,12250,855.6581224489796,40.720828339993574,-73.9779317199802,2014
34,Avenue D & E 8 St,266.0,8795,946.0114837976123,40.723683609996485,-73.97574813000337,2014
35,Bank St & Hudson St,346.0,26691,812.5547937507025,40.73652888998127,-74.00618026003889,2014
36,Bank St & Washington St,238.0,21157,913.0928770619653,40.73619670001112,-74.0085920700173,2014
37,Barclay St & Church St,417.0,36504,809.4579772079773,40.71291224000307,-74.01020233999452,2014
38,Barrow St & Hudson St,127.0,41242,843.0905630182823,40.731724279988086,-74.00674436005309,2014
39,Bayard St & Baxter St,355.0,24267,830.2434994024808,40.716021180011865,-73.9997437200347,2014
40,Bedford Ave & S 9th St,443.0,2304,1254.025607638889,40.70853073999853,-73.9640896299977,2014
41,Bialystoker Pl & Delancey St,356.0,12410,901.0411764705882,40.7162264399933,-73.98261206000836,2014
42,Bond St & Schermerhorn St,395.0,9561,901.351950632779,40.68807003000591,-73.98410637000697,2014
43,Broad St & Bridge St,260.0,10086,1066.020226055919,40.70365182000361,-74.011677969986,2014
44,Broadway & Battery Pl,304.0,22922,1160.7757612773755,40.70463334000619,-74.01361705997284,2014
45,Broadway & Berry St,389.0,6939,1254.791756737282,40.71044553999924,-73.96525062999291,2014
46,Broadway & E 14 St,285.0,65852,719.4208224503432,40.734545669986225,-73.99074141998757,2014
47,Broadway & E 22 St,402.0,60932,741.9976531215125,40.740343200032854,-73.98955109004935,2014
48,Broadway & W 24 St,444.0,58590,798.5502474825056,40.74235430002717,-73.98915076010195,2014
49,Broadway & W 29 St,486.0,32879,723.1276498676967,40.74620089999084,-73.9885572300172,2014
50,Broadway & W 32 St,498.0,38305,723.5838663359875,40.74854861997828,-73.9880841599612,2014
